genotype_mbna,genotype_mb,qrCode_mbna,qrCode_mb,plotNumber_mbna,environment_mbna,environment_mb,earLength_mbna,earLength_mb
MBNA,MB,22-A-1592976,22-A-1592976,1592976,2022 Ames Low,2022 Ames Low,15.163,14.238
MBNA,MB,22-A-1592976,22-A-1592976,1592976,2022 Ames Low,2022 Ames Low,14.881,14.238
MBNA,MB,22-A-1592976,22-A-1592976,1592976,2022 Ames Low,2022 Ames Low,13.185,14.238
MBNA,MB,22-A-1592976,22-A-1592976,1592976,2022 Ames Low,2022 Ames Low,12.579,14.238
MBNA,MB,22-A-1592976,22-A-1592976,1592976,2022 Ames Low,2022 Ames Low,15.38,14.238
MBNA,MB,22-A-1592976,22-A-1592976,1592976,2022 Ames Low,2022 Ames Low,NA,14.238
MBNA,MB,22-A-1593352,22-A-1593352,1593352,2022 Ames Low,2022 Ames Low,13.217,13.675
MBNA,MB,22-A-1593352,22-A-1593352,1593352,2022 Ames Low,2022 Ames Low,15.494,13.675
MBNA,MB,22-A-1593352,22-A-1593352,1593352,2022 Ames Low,2022 Ames Low,13.771,13.675
MBNA,MB,22-A-1593352,22-A-1593352,1593352,2022 Ames Low,2022 Ames Low,13.382,13.675
MBNA,MB,22-A-1593352,22-A-1593352,1593352,2022 Ames Low,2022 Ames Low,12.511,13.675
MBNA,MB,22-A-1593352,22-A-1593352,1593352,2022 Ames Low,2022 Ames Low,NA,13.675
MBNA,MB,22-A-1593768,22-A-1593768,1593768,2022 Ames High,2022 Ames High,14.695,13.911
MBNA,MB,22-A-1593768,22-A-1593768,1593768,2022 Ames High,2022 Ames High,13.985,13.911
MBNA,MB,22-A-1593768,22-A-1593768,1593768,2022 Ames High,2022 Ames High,16.039,13.911
MBNA,MB,22-A-1593768,22-A-1593768,1593768,2022 Ames High,2022 Ames High,11.684,13.911
MBNA,MB,22-A-1593768,22-A-1593768,1593768,2022 Ames High,2022 Ames High,13.151,13.911
MBNA,MB,22-A-1593768,22-A-1593768,1593768,2022 Ames High,2022 Ames High,NA,13.911
MBNA,MB,22-A-1594144,22-A-1594144,1594144,2022 Ames High,2022 Ames High,17.104,15.864
MBNA,MB,22-A-1594144,22-A-1594144,1594144,2022 Ames High,2022 Ames High,14.774,15.864
MBNA,MB,22-A-1594144,22-A-1594144,1594144,2022 Ames High,2022 Ames High,15.762,15.864
MBNA,MB,22-A-1594144,22-A-1594144,1594144,2022 Ames High,2022 Ames High,15.814,15.864
MBNA,MB,22-A-1594144,22-A-1594144,1594144,2022 Ames High,2022 Ames High,NA,15.864
MBNA,MB,22-A-1594510,22-A-1594510,1594510,2022 Ames Medium,2022 Ames Medium,11.17,12.084
MBNA,MB,22-A-1594510,22-A-1594510,1594510,2022 Ames Medium,2022 Ames Medium,14.511,12.084
MBNA,MB,22-A-1594510,22-A-1594510,1594510,2022 Ames Medium,2022 Ames Medium,11.113,12.084
MBNA,MB,22-A-1594510,22-A-1594510,1594510,2022 Ames Medium,2022 Ames Medium,12.696,12.084
MBNA,MB,22-A-1594510,22-A-1594510,1594510,2022 Ames Medium,2022 Ames Medium,10.929,12.084
MBNA,MB,22-A-1594510,22-A-1594510,1594510,2022 Ames Medium,2022 Ames Medium,NA,12.084
MBNA,MB,22-A-1594886,22-A-1594886,1594886,2022 Ames Medium,2022 Ames Medium,11.383,13.131
