qrCode,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,block,row,range,plotNumber,genotype,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,kernelColor,earMass,notes,year,locationYear,environment,sampleID
22-A-1572699,Ames,Ames B1,0,High,250,LC_2231,3,17,4,1572699,29MIBZ2,16.006,NA,4.011,2.59,NA,14,329,22.918,75.4,23.9,NA,99.1,;;,2022,2022 Ames,2022 Ames High,NA
22-A-1572699,Ames,Ames B1,0,High,250,LC_2231,3,17,4,1572699,29MIBZ2,16.555,NA,3.866,2.536,NA,12,295,22.688,66.9,22.5,NA,90.6,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames High,NA
22-A-1572699,Ames,Ames B1,0,High,250,LC_2231,3,17,4,1572699,29MIBZ2,12.882,NA,3.337,2.12,NA,12,144,22.792,32.8,11.3,NA,44.9,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames High,NA
22-A-1572699,Ames,Ames B1,0,High,250,LC_2231,3,17,4,1572699,29MIBZ2,NA,NA,3.925,NA,NA,14,NA,NA,NA,NA,NA,103.2,;;,2022,2022 Ames,2022 Ames High,NA
22-A-1572700,Ames,Ames B1,0,High,250,LC_2231,3,25,5,1572700,F42,8.653,NA,3.65,2.616,NA,20,210,17.19,36.1,7.2,NA,43.7,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames High,NA
22-A-1572700,Ames,Ames B1,0,High,250,LC_2231,3,25,5,1572700,F42,12.373,NA,4.436,2.791,NA,20,379,20.897,79.2,18.5,NA,98.3,;;,2022,2022 Ames,2022 Ames High,NA
22-A-1572700,Ames,Ames B1,0,High,250,LC_2231,3,25,5,1572700,F42,10.067,NA,4.115,2.772,NA,18,169,22.722,38.4,13.8,NA,53.2,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames High,NA
22-A-1572700,Ames,Ames B1,0,High,250,LC_2231,3,25,5,1572700,F42,9.646,NA,3.615,2.654,NA,18,212,17.5,37.1,15.3,NA,45.5,;;x - collect data; but analyze team may need to assess photos,2022,2022 Ames,2022 Ames High,NA
22-A-1572700,Ames,Ames B1,0,High,250,LC_2231,3,25,5,1572700,F42,10.915,NA,4.111,2.762,NA,20,308,20.942,64.5,15.1,NA,80.2,;;,2022,2022 Ames,2022 Ames High,NA
22-A-1572700,Ames,Ames B1,0,High,250,LC_2231,3,25,5,1572700,F42,NA,NA,4.428,NA,NA,22,NA,NA,NA,NA,NA,111.3,;;,2022,2022 Ames,2022 Ames High,NA
22-A-1584117,Ames,Ames E1,0,Low,75,LC_2233,1,7,2,1584117,29MIBZ2,17.009,NA,4.021,2.578,NA,12,293,28.157,82.5,19.6,NA,100.7,;;,2022,2022 Ames,2022 Ames Low,NA
22-A-1584117,Ames,Ames E1,0,Low,75,LC_2233,1,7,2,1584117,29MIBZ2,16.85,NA,4.025,2.7,NA,14,336,28.125,94.5,22.5,NA,115.3,;;,2022,2022 Ames,2022 Ames Low,NA
