qrCode,year,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,row,range,plotNumber,genotype,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,flagLeafHeight,plantDensity,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,earWeight,shelledCobMass,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,kernelColor,percentLodging,notes,harvestDate,locationYear,environment,pedigreeID,resequencingSNPSGenotype
22-A-1572699,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,10,3,17,4,1572699,29MIBZ2,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,35,88,2206,15.148,NA,3.785,2.415,NA,13,256,22.806,58.4,77.633,19.233,0.089333333,70.6083048,15.24158041,4.501770691,2.001715675,1.531396906,NA,NA,;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;;,10/23/2022,2022 Ames,2022 Ames High,NA,29MIBZ2
22-A-1572700,2022,Ames,Ames B1,0,High,250,LC_2231,7.5,24,3,25,5,1572700,F42,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,29,105,5294,10.331,NA,4.059,2.719,NA,19.7,256,19.977,51.1,65.08,13.98,0.083166667,75.31217728,11.00052877,3.838528327,0.959772908,1.245160806,NA,NA,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;x - collect data; but alyze team may need to assess photos;;;,10/23/2022,2022 Ames,2022 Ames High,NA,F42
22-A-1584117,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,19,1,7,2,1584117,29MIBZ2,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,4191,16.93,NA,3.994,2.639,NA,12.7,314,28.14,88.5,109.55,21.05,0.1112,76.90935265,13.38280529,4.349274287,2.08890723,1.446974447,NA,NA,;;;;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,29MIBZ2
22-A-1584118,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,28,1,14,3,1584118,F42,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,39,118,6176,12.389,NA,4.173,2.734,NA,17.2,241,24.527,59.1,77.52,18.42,0.1027,78.81202766,8.511669014,4.863981589,1.854882361,1.328851801,NA,NA,;;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames Low,NA,F42
22-A-1584119,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,16,1,9,4,1584119,LH54,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,34,90,3529,17.753,NA,3.317,1.984,NA,10,193,26.267,50.8,64.06,13.26,0.1045,72.82919732,12.75779911,4.763632877,2.784837329,1.454831009,NA,NA,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,LH54
22-A-1584120,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,30,1,7,3,1584120,NC230,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,45,89,6618,12.301,NA,4.285,2.737,NA,13.2,272,24.563,66.8,82.8,16,0.1095,75.4675327,11.34944938,5.365736379,1.229541786,1.399765074,NA,NA,;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,NC230
22-A-1584121,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,26,1,3,3,1584121,A188,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,24,106,5735,11.469,NA,NA,2.016,NA,11.8,213,25.226,53.7,62.1,8.4,0.1096,74.35613876,12.95401119,4.595598576,2.076860069,1.408504788,NA,NA,;;;;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames Low,NA,A188
22-A-1584122,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,26,1,15,3,1584122,CI187-2,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,39,101,5735,16.234,NA,3.336,2.305,NA,12.5,202,22.888,46.2,59.267,13.067,0.108533333,75.68592849,11.57067916,5.633213012,1.946226862,1.413527258,NA,NA,;;;;;;x -set asside;x -set asside;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames Low,NA,CI_187.2
22-A-1584123,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,29,1,13,3,1584123,NC290A,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,49,133,6397,9.916,NA,4.065,2.397,NA,14.8,135,26.391,35.7,47.56,11.86,0.102,70.75373891,13.04604177,5.436407981,1.487736575,1.326921387,NA,NA,;;;;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;,10/23/2022,2022 Ames,2022 Ames Low,NA,NC290A
22-A-1584124,2022,Ames,Ames E1,0,Low,75,LC_2233,7.5,24,1,4,4,1584124,NC364,5/22/2023,NA,NA,NA,NA,NA,NA,NA,NA,50,124,5294,13.566,NA,4.034,2.546,NA,14.7,337,23.806,80.2,97.12,16.92,0.105166667,78.17944396,11.08967138,4.641521101,1.877368354,1.402905153,NA,NA,;;;;;;;;;;;;;;,10/23/2022,2022 Ames,2022 Ames Low,NA,NC364
